parameters,calculated,simulated
lambda,15.0,15.404783391446138
mu_1,4.0,4.182893460032879
mu_2,5.0,4.981771395456643
mu_3,6.0,6.2273699128639155
mu_4,7.0,6.7912801121697814
mu_5,8.0,8.175208128790517
mu_6,3.0,2.984374937846531
rho_1,3.75,3.6828055838948024
rho_2,3.0,3.092230086168796
rho_3,2.5,2.4737222305719118
rho_4,2.142857142857143,2.2683180692018876
rho_5,1.875,1.8843291997906848
rho_6,5.0,5.161812343378657
t_1,0.25,0.2390689625626132
t_2,0.2,0.20073181216464414
t_3,0.16666666666666666,0.16058143550045004
t_4,0.14285714285714285,0.1472476445505507
t_5,0.125,0.12232104482799817
t_6,0.3333333333333333,0.33507854100985757
K,2.7865979983137104,3.1424010319468985
T,0.1857731998875807,0.20398865417944073
Q,0.059325271040983764,0.048531446445774354
W,0.003955018069398917,0.0031504140767550527
